,"In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? Please select up to three. ","If you wanted to know more about how elections are run in the United States, where would you be most likely look for that information? Please select up to three. ","If you are interested in learning about the winner of an election, where would you be most likely to look for results? Please select up to three. "
Local or county administrators,27.2%,16.8%,10.3%
Friends and family,24.1%,17.4%,15.4%
A federal agency or website dedicated to elections (e.g. the U.S. Election Assistance Commission or vote.gov),23.2%,32.7%,20.8%
"News media professionals (local/national TV news anchors, journalists, reporters)",19.3%,17.9%,49.2%
State election administrators,19.3%,22.4%,14.4%
Election-related organizations (including integrity and voting rights groups),15.0%,19.6%,14.0%
Your preferred candidate,14.0%,8.5%,9.9%
"Your favorite social media influencer or content creator (e.g. TikTok, X/Twitter, Reels, etc.)",10.5%,9.3%,12.7%
A national political party organization,10.4%,11.0%,10.3%
"Elected officials at any level (e.g. mayors, governors, Congress members)",9.0%,12.4%,8.1%
Don't know/ No opinion,8.9%,7.6%,5.0%
"Your favorite commentator or analyst from a radio show, podcast, TV show, blog, or newspaper",8.8%,10.6%,17.8%
"Fact-checking organizations (e.g. Snopes, PolitiFact, AP Fact Check, etc.)",8.2%,13.1%,11.1%
Civic or religious organizations in your community,7.2%,5.3%,4.3%
"Other, please specify",2.0%,3.1%,2.4%
